Dispositivo;Extenso;Usuarios;dia;mes;ano;Data
tablet;20230910;1;10;9;2023;10/09/2023
tablet;20230913;1;13;9;2023;13/09/2023
tablet;20230915;1;15;9;2023;15/09/2023
tablet;20230922;1;22;9;2023;22/09/2023
tablet;20230925;1;25;9;2023;25/09/2023
tablet;20230927;1;27;9;2023;27/09/2023
tablet;20231005;1;5;10;2023;05/10/2023
tablet;20231007;1;7;10;2023;07/10/2023
tablet;20231008;1;8;10;2023;08/10/2023
tablet;20231012;1;12;10;2023;12/10/2023
tablet;20231014;1;14;10;2023;14/10/2023
tablet;20230919;0;19;9;2023;19/09/2023
mobile;20231020;68;20;10;2023;20/10/2023
mobile;20231019;60;19;10;2023;19/10/2023
mobile;20231021;52;21;10;2023;21/10/2023
mobile;20231022;49;22;10;2023;22/10/2023
desktop;20231020;46;20;10;2023;20/10/2023
mobile;20231017;45;17;10;2023;17/10/2023
mobile;20231018;42;18;10;2023;18/10/2023
desktop;20231018;37;18;10;2023;18/10/2023
desktop;20231019;36;19;10;2023;19/10/2023
desktop;20231022;34;22;10;2023;22/10/2023
mobile;20231016;32;16;10;2023;16/10/2023
desktop;20231016;30;16;10;2023;16/10/2023
desktop;20231017;29;17;10;2023;17/10/2023
desktop;20231021;28;21;10;2023;21/10/2023
tablet;20231016;1;16;10;2023;16/10/2023
tablet;20231017;1;17;10;2023;17/10/2023
tablet;20231020;1;20;10;2023;20/10/2023
tablet;20231021;1;21;10;2023;21/10/2023
mobile;20231028;160;28;10;2023;28/10/2023
mobile;20231025;106;25;10;2023;25/10/2023
desktop;20231025;69;25;10;2023;25/10/2023
mobile;20231026;67;26;10;2023;26/10/2023
mobile;20231027;63;27;10;2023;27/10/2023
mobile;20231023;58;23;10;2023;23/10/2023
desktop;20231023;53;23;10;2023;23/10/2023
desktop;20231026;52;26;10;2023;26/10/2023
desktop;20231024;47;24;10;2023;24/10/2023
mobile;20231029;45;29;10;2023;29/10/2023
desktop;20231028;41;28;10;2023;28/10/2023
desktop;20231027;35;27;10;2023;27/10/2023
mobile;20231024;34;24;10;2023;24/10/2023
desktop;20231029;26;29;10;2023;29/10/2023
tablet;20231027;3;27;10;2023;27/10/2023
tablet;20231028;2;28;10;2023;28/10/2023
tablet;20231024;1;24;10;2023;24/10/2023
tablet;20231025;1;25;10;2023;25/10/2023
tablet;20231026;1;26;10;2023;26/10/2023
mobile;20231104;168;4;11;2023;04/11/2023
mobile;20231105;112;5;11;2023;05/11/2023
desktop;20231031;51;31;10;2023;31/10/2023
mobile;20231031;47;31;10;2023;31/10/2023
mobile;20231101;45;1;11;2023;01/11/2023
mobile;20231030;43;30;10;2023;30/10/2023
desktop;20231030;42;30;10;2023;30/10/2023
desktop;20231104;40;4;11;2023;04/11/2023
mobile;20231103;40;3;11;2023;03/11/2023
desktop;20231105;39;5;11;2023;05/11/2023
desktop;20231103;37;3;11;2023;03/11/2023
mobile;20231102;37;2;11;2023;02/11/2023
desktop;20231101;24;1;11;2023;01/11/2023
desktop;20231102;24;2;11;2023;02/11/2023
tablet;20231105;2;5;11;2023;05/11/2023
tablet;20231101;1;1;11;2023;01/11/2023
tablet;20231104;1;4;11;2023;04/11/2023
mobile;20231111;91;11;11;2023;11/11/2023
mobile;20231106;86;6;11;2023;06/11/2023
mobile;20231108;79;8;11;2023;08/11/2023
mobile;20231110;69;10;11;2023;10/11/2023
mobile;20231109;68;9;11;2023;09/11/2023
mobile;20231107;66;7;11;2023;07/11/2023
mobile;20231112;62;12;11;2023;12/11/2023
desktop;20231110;58;10;11;2023;10/11/2023
desktop;20231109;55;9;11;2023;09/11/2023
desktop;20231107;53;7;11;2023;07/11/2023
desktop;20231106;50;6;11;2023;06/11/2023
desktop;20231108;47;8;11;2023;08/11/2023
desktop;20231111;29;11;11;2023;11/11/2023
desktop;20231112;22;12;11;2023;12/11/2023
tablet;20231111;1;11;11;2023;11/11/2023
mobile;20231115;78;15;11;2023;15/11/2023
mobile;20231114;65;14;11;2023;14/11/2023
mobile;20231119;63;19;11;2023;19/11/2023
mobile;20231116;59;16;11;2023;16/11/2023
mobile;20231117;46;17;11;2023;17/11/2023
desktop;20231114;45;14;11;2023;14/11/2023
mobile;20231113;45;13;11;2023;13/11/2023
desktop;20231113;44;13;11;2023;13/11/2023
mobile;20231118;44;18;11;2023;18/11/2023
desktop;20231116;41;16;11;2023;16/11/2023
desktop;20231117;41;17;11;2023;17/11/2023
desktop;20231115;38;15;11;2023;15/11/2023
desktop;20231118;29;18;11;2023;18/11/2023
desktop;20231119;23;19;11;2023;19/11/2023
tablet;20231113;1;13;11;2023;13/11/2023
tablet;20231115;1;15;11;2023;15/11/2023
mobile;20231123;140;23;11;2023;23/11/2023
mobile;20231125;129;25;11;2023;25/11/2023
mobile;20231122;123;22;11;2023;22/11/2023
mobile;20231126;119;26;11;2023;26/11/2023
mobile;20231120;88;20;11;2023;20/11/2023
desktop;20231123;73;23;11;2023;23/11/2023
mobile;20231121;85;21;11;2023;21/11/2023
desktop;20231124;62;24;11;2023;24/11/2023
mobile;20231124;85;24;11;2023;24/11/2023
desktop;20231122;51;22;11;2023;22/11/2023
desktop;20231125;53;25;11;2023;25/11/2023
desktop;20231126;49;26;11;2023;26/11/2023
desktop;20231120;51;20;11;2023;20/11/2023
desktop;20231121;46;21;11;2023;21/11/2023
tablet;20231124;8;24;11;2023;24/11/2023
tablet;20231123;2;23;11;2023;23/11/2023
tablet;20231125;1;25;11;2023;25/11/2023
tablet;20231126;1;26;11;2023;26/11/2023
mobile;20231203;82;03;12;2023;03/12/2023
mobile;20231130;80;30;11;2023;30/11/2023
mobile;20231129;77;29;11;2023;29/11/2023
mobile;20231201;67;01;12;2023;01/12/2023
mobile;20231127;65;27;11;2023;27/11/2023
desktop;20231129;63;29;11;2023;29/11/2023
mobile;20231128;55;28;11;2023;28/11/2023
mobile;20231202;52;02;12;2023;02/12/2023
desktop;20231127;47;27;11;2023;27/11/2023
desktop;20231128;45;28;11;2023;28/11/2023
desktop;20231130;43;30;11;2023;30/11/2023
desktop;20231201;40;01;12;2023;01/12/2023
desktop;20231202;28;02;12;2023;02/12/2023
desktop;20231203;27;03;12;2023;03/12/2023
tablet;20231129;2;29;11;2023;29/11/2023
tablet;20231127;1;27;11;2023;27/11/2023
tablet;20231128;1;28;11;2023;28/11/2023
tablet;20231201;1;01;12;2023;01/12/2023
tablet;20231203;1;03;12;2023;03/12/2023
