Canal;Extenso;Usuario;Sessao;dia;mes;ano;Data
Referral;20230813;1;1;13;8;2023;13/08/2023
Referral;20230815;1;1;15;8;2023;15/08/2023
Referral;20230817;1;3;17;8;2023;17/08/2023
Referral;20230824;1;2;24;8;2023;24/08/2023
Referral;20230825;1;1;25;8;2023;25/08/2023
Referral;20230830;1;1;30;8;2023;30/08/2023
Referral;20230831;1;2;31;8;2023;31/08/2023
Referral;20230901;1;4;1;9;2023;01/09/2023
Referral;20230902;1;1;2;9;2023;02/09/2023
Referral;20230905;1;1;5;9;2023;05/09/2023
Referral;20230908;1;2;8;9;2023;08/09/2023
Referral;20230909;1;4;9;9;2023;09/09/2023
Referral;20230911;1;2;11;9;2023;11/09/2023
Referral;20230912;1;2;12;9;2023;12/09/2023
Referral;20230914;1;3;14;9;2023;14/09/2023
Referral;20230915;1;2;15;9;2023;15/09/2023
Referral;20230918;1;1;18;9;2023;18/09/2023
Referral;20230919;1;0;19;9;2023;19/09/2023
Referral;20230921;1;1;21;9;2023;21/09/2023
Referral;20230922;1;0;22;9;2023;22/09/2023
Referral;20230923;1;1;23;9;2023;23/09/2023
Referral;20230929;1;2;29;9;2023;29/09/2023
Referral;20231003;1;1;3;10;2023;03/10/2023
Referral;20231004;1;0;4;10;2023;04/10/2023
Referral;20231007;1;1;7;10;2023;07/10/2023
Referral;20231013;1;1;13;10;2023;13/10/2023
Referral;20231014;1;1;14;10;2023;14/10/2023
Referral;20230816;0;0;16;8;2023;16/08/2023
Referral;20230822;0;1;22;8;2023;22/08/2023
Referral;20230827;0;2;27;8;2023;27/08/2023
Referral;20230829;0;1;29;8;2023;29/08/2023
Referral;20230907;0;1;7;9;2023;07/09/2023
Referral;20230917;0;1;17;9;2023;17/09/2023
Referral;20230920;0;1;20;9;2023;20/09/2023
Referral;20230924;0;1;24;9;2023;24/09/2023
Referral;20230930;0;1;30;9;2023;30/09/2023
Referral;20231001;0;3;1;10;2023;01/10/2023
Referral;20231002;0;1;2;10;2023;02/10/2023
Organic Search;20231019;45;51;19;10;2023;19/10/2023
Organic Search;20231020;39;41;20;10;2023;20/10/2023
Organic Search;20231021;34;36;21;10;2023;21/10/2023
Organic Search;20231022;27;43;22;10;2023;22/10/2023
Direct;20231020;26;67;20;10;2023;20/10/2023
Organic Search;20231017;25;28;17;10;2023;17/10/2023
Organic Search;20231016;19;27;16;10;2023;16/10/2023
Organic Search;20231018;19;25;18;10;2023;18/10/2023
Direct;20231018;18;50;18;10;2023;18/10/2023
Direct;20231017;17;45;17;10;2023;17/10/2023
Direct;20231016;14;32;16;10;2023;16/10/2023
Direct;20231019;13;38;19;10;2023;19/10/2023
Direct;20231022;13;49;22;10;2023;22/10/2023
Direct;20231021;10;49;21;10;2023;21/10/2023
Referral;20231018;4;2;18;10;2023;18/10/2023
Referral;20231021;3;1;21;10;2023;21/10/2023
Organic Social;20231019;1;0;19;10;2023;19/10/2023
Organic Search;20231028;131;81;28;10;2023;28/10/2023
Organic Search;20231025;57;76;25;10;2023;25/10/2023
Organic Search;20231026;47;53;26;10;2023;26/10/2023
Direct;20231025;43;118;25;10;2023;25/10/2023
Organic Search;20231027;41;41;27;10;2023;27/10/2023
Organic Search;20231023;38;48;23;10;2023;23/10/2023
Organic Search;20231029;32;6;29;10;2023;29/10/2023
Direct;20231028;31;52;28;10;2023;28/10/2023
Organic Search;20231024;31;34;24;10;2023;24/10/2023
Direct;20231023;25;63;23;10;2023;23/10/2023
Direct;20231027;16;59;27;10;2023;27/10/2023
Direct;20231026;13;63;26;10;2023;26/10/2023
Direct;20231024;12;39;24;10;2023;24/10/2023
Direct;20231029;11;8;29;10;2023;29/10/2023
Referral;20231027;2;2;27;10;2023;27/10/2023
Referral;20231028;2;2;28;10;2023;28/10/2023
Organic Social;20231023;1;1;23;10;2023;23/10/2023
Referral;20231023;1;2;23;10;2023;23/10/2023
Referral;20231024;1;1;24;10;2023;24/10/2023
Referral;20231026;1;1;26;10;2023;26/10/2023
Organic Search;20231104;151;111;4;11;2023;04/11/2023
Organic Search;20231105;78;78;5;11;2023;05/11/2023
Organic Search;20231103;40;35;3;11;2023;03/11/2023
Organic Search;20231031;37;39;31;10;2023;31/10/2023
Organic Search;20231030;33;39;30;10;2023;30/10/2023
Organic Search;20231102;31;29;2;11;2023;02/11/2023
Direct;20231105;30;57;5;11;2023;05/11/2023
Organic Search;20231101;27;31;1;11;2023;01/11/2023
Direct;20231031;20;53;31;10;2023;31/10/2023
Direct;20231104;20;46;4;11;2023;04/11/2023
Direct;20231101;12;36;1;11;2023;01/11/2023
Direct;20231030;11;44;30;10;2023;30/10/2023
Direct;20231103;11;32;3;11;2023;03/11/2023
Direct;20231102;9;26;2;11;2023;02/11/2023
Referral;20231101;2;2;1;11;2023;01/11/2023
Organic Social;20231103;1;1;3;11;2023;03/11/2023
Organic Social;20231105;1;0;5;11;2023;05/11/2023
Referral;20231102;1;1;2;11;2023;02/11/2023
Referral;20231104;1;3;4;11;2023;04/11/2023
Organic Search;20231106;67;65;6;11;2023;06/11/2023
Organic Search;20231108;51;61;8;11;2023;08/11/2023
Organic Search;20231111;51;63;11;11;2023;11/11/2023
Organic Search;20231110;47;56;10;11;2023;10/11/2023
Organic Search;20231109;44;54;9;11;2023;09/11/2023
Organic Search;20231107;42;51;7;11;2023;07/11/2023
Direct;20231109;36;68;9;11;2023;09/11/2023
Organic Search;20231112;33;40;12;11;2023;12/11/2023
Direct;20231107;26;69;7;11;2023;07/11/2023
Direct;20231106;22;54;6;11;2023;06/11/2023
Direct;20231111;20;63;11;11;2023;11/11/2023
Direct;20231108;19;55;8;11;2023;08/11/2023
Direct;20231110;17;67;10;11;2023;10/11/2023
Direct;20231112;14;55;12;11;2023;12/11/2023
Referral;20231108;4;2;8;11;2023;08/11/2023
Referral;20231111;3;2;11;11;2023;11/11/2023
Organic Social;20231110;2;2;10;11;2023;10/11/2023
Referral;20231110;2;3;10;11;2023;10/11/2023
Referral;20231107;1;1;7;11;2023;07/11/2023
Referral;20231106;0;1;6;11;2023;06/11/2023
Organic Search;20231114;62;55;14;11;2023;14/11/2023
Organic Search;20231115;58;58;15;11;2023;15/11/2023
Organic Search;20231116;44;48;16;11;2023;16/11/2023
Organic Search;20231119;43;50;19;11;2023;19/11/2023
Organic Search;20231113;40;39;13;11;2023;13/11/2023
Organic Search;20231117;38;37;17;11;2023;17/11/2023
Organic Search;20231118;29;34;18;11;2023;18/11/2023
Direct;20231114;13;40;14;11;2023;14/11/2023
Direct;20231115;13;57;15;11;2023;15/11/2023
Direct;20231113;12;43;13;11;2023;13/11/2023
Direct;20231117;12;50;17;11;2023;17/11/2023
Direct;20231116;11;44;16;11;2023;16/11/2023
Direct;20231118;11;34;18;11;2023;18/11/2023
Direct;20231119;10;37;19;11;2023;19/11/2023
Organic Social;20231117;4;1;17;11;2023;17/11/2023
Referral;20231118;4;3;18;11;2023;18/11/2023
Referral;20231113;3;3;13;11;2023;13/11/2023
Organic Social;20231116;2;2;16;11;2023;16/11/2023
Referral;20231114;2;1;14;11;2023;14/11/2023
Referral;20231115;1;1;15;11;2023;15/11/2023
Referral;20231116;0;1;16;11;2023;16/11/2023
Organic Search;20231123;49;67;23;11;2023;23/11/2023
Organic Search;20231122;48;51;22;11;2023;22/11/2023
Organic Search;20231124;44;44;24;11;2023;24/11/2023
Organic Search;20231125;44;50;25;11;2023;25/11/2023
Organic Search;20231126;37;45;26;11;2023;26/11/2023
Organic Search;20231121;35;41;21;11;2023;21/11/2023
Organic Search;20231120;31;40;20;11;2023;20/11/2023
Direct;20231123;29;79;23;11;2023;23/11/2023
Direct;20231126;22;60;26;11;2023;26/11/2023
Direct;20231125;19;72;25;11;2023;25/11/2023
Direct;20231120;18;54;20;11;2023;20/11/2023
Direct;20231121;15;39;21;11;2023;21/11/2023
Direct;20231124;14;45;24;11;2023;24/11/2023
Direct;20231122;12;66;22;11;2023;22/11/2023
Referral;20231120;2;2;20;11;2023;20/11/2023
Referral;20231124;1;1;24;11;2023;24/11/2023
Referral;20231121;0;1;21;11;2023;21/11/2023
