Evento;Extenso;Contagem;Usuarios;dia;mês;ano;Data
scroll;20230827;882;92;27;8;2023;27/08/2023
page_view;20240120;881;117;20;1;2024;20/01/2024
page_view;20240106;880;87;6;1;2024;06/01/2024
user_engagement;20240116;880;79;16;1;2024;16/01/2024
page_view;20230907;878;82;7;9;2023;07/09/2023
page_view;20230923;877;71;23;9;2023;23/09/2023
page_view;20240131;877;77;31;1;2024;31/01/2024
scroll;20230826;876;118;26;8;2023;26/08/2023
user_engagement;20231001;876;59;1;10;2023;01/10/2023
user_engagement;20231118;874;60;18;11;2023;18/11/2023
user_engagement;20231203;873;88;3;12;2023;03/12/2023
user_engagement;20240112;873;72;12;1;2024;12/01/2024
user_engagement;20240201;873;109;1;2;2024;01/02/2024
page_view;20240119;872;93;19;1;2024;19/01/2024
scroll;20240114;872;66;14;1;2024;14/01/2024
user_engagement;20231208;866;79;8;12;2023;08/12/2023
scroll;20231026;862;105;26;10;2023;26/10/2023
scroll;20230809;861;120;9;8;2023;09/08/2023
scroll;20231109;860;115;9;11;2023;09/11/2023
user_engagement;20231201;860;94;1;12;2023;01/12/2023
page_view;20240108;859;206;8;1;2024;08/01/2024
page_view;20231017;858;78;17;10;2023;17/10/2023
user_engagement;20240220;858;79;20;2;2024;20/02/2024
page_view;20231009;857;93;9;10;2023;09/10/2023
user_engagement;20230824;857;117;24;8;2023;24/08/2023
user_engagement;20230925;856;72;25;9;2023;25/09/2023
user_engagement;20231205;853;103;5;12;2023;05/12/2023
page_view;20230904;851;80;4;9;2023;04/09/2023
page_view;20240215;851;92;15;2;2024;15/02/2024
user_engagement;20240106;846;69;6;1;2024;06/01/2024
user_engagement;20231213;841;75;13;12;2023;13/12/2023
scroll;20230808;840;107;8;8;2023;08/08/2023
page_view;20231113;838;93;13;11;2023;13/11/2023
user_engagement;20231129;834;128;29;11;2023;29/11/2023
page_view;20231215;832;122;15;12;2023;15/12/2023
user_engagement;20230917;832;63;17;9;2023;17/09/2023
user_engagement;20231027;832;87;27;10;2023;27/10/2023
scroll;20231203;831;95;3;12;2023;03/12/2023
page_view;20231112;830;92;12;11;2023;12/11/2023
page_view;20240123;830;85;23;1;2024;23/01/2024
page_view;20231020;829;118;20;10;2023;20/10/2023
user_engagement;20230812;827;58;12;8;2023;12/08/2023
scroll;20240117;826;84;17;1;2024;17/01/2024
user_engagement;20230927;826;133;27;9;2023;27/09/2023
user_engagement;20240209;826;89;9;2;2024;09/02/2024
user_engagement;20240221;825;85;21;2;2024;21/02/2024
user_engagement;20230804;824;75;4;8;2023;04/08/2023
user_engagement;20230823;823;94;23;8;2023;23/08/2023
user_engagement;20230814;822;60;14;8;2023;14/08/2023
page_view;20231019;820;101;19;10;2023;19/10/2023
user_engagement;20231111;820;107;11;11;2023;11/11/2023
page_view;20230919;819;118;19;9;2023;19/09/2023
page_view;20231128;819;102;28;11;2023;28/11/2023
page_view;20230829;817;83;29;8;2023;29/08/2023
page_view;20231104;817;212;4;11;2023;04/11/2023
page_view;20230924;815;60;24;9;2023;24/09/2023
page_view;20240219;815;84;19;2;2024;19/02/2024
scroll;20231218;813;126;18;12;2023;18/12/2023
scroll;20231207;812;95;7;12;2023;07/12/2023
user_engagement;20240131;812;71;31;1;2024;31/01/2024
user_engagement;20231202;811;69;2;12;2023;02/12/2023
user_engagement;20230916;810;113;16;9;2023;16/09/2023
page_view;20230913;809;84;13;9;2023;13/09/2023
scroll;20240112;809;74;12;1;2024;12/01/2024
page_view;20230902;806;89;2;9;2023;02/09/2023
user_engagement;20240110;803;78;10;1;2024;10/01/2024
user_engagement;20240108;801;171;8;1;2024;08/01/2024
scroll;20231208;800;78;8;12;2023;08/12/2023
scroll;20230813;799;90;13;8;2023;13/08/2023
user_engagement;20240109;799;109;9;1;2024;09/01/2024
page_view;20231217;795;91;17;12;2023;17/12/2023
user_engagement;20231119;795;68;19;11;2023;19/11/2023
page_view;20231021;794;83;21;10;2023;21/10/2023
user_engagement;20230808;788;100;8;8;2023;08/08/2023
user_engagement;20240130;788;76;30;1;2024;30/01/2024
scroll;20230903;786;111;3;9;2023;03/09/2023
scroll;20230823;785;94;23;8;2023;23/08/2023
scroll;20231015;782;55;15;10;2023;15/10/2023
user_engagement;20230926;781;89;26;9;2023;26/09/2023
page_view;20240126;779;86;26;1;2024;26/01/2024
scroll;20231205;778;102;5;12;2023;05/12/2023
scroll;20231122;777;98;22;11;2023;22/11/2023
scroll;20231001;774;61;1;10;2023;01/10/2023
user_engagement;20230821;773;76;21;8;2023;21/08/2023
user_engagement;20231006;773;109;6;10;2023;06/10/2023
page_view;20231124;772;103;24;11;2023;24/11/2023
page_view;20231211;772;138;11;12;2023;11/12/2023
page_view;20240225;771;103;25;2;2024;25/02/2024
page_view;20240124;770;95;24;1;2024;24/01/2024
scroll;20231117;769;74;17;11;2023;17/11/2023
scroll;20231129;769;129;29;11;2023;29/11/2023
user_engagement;20230904;769;71;4;9;2023;04/09/2023
scroll;20230906;768;87;6;9;2023;06/09/2023
user_engagement;20230907;768;65;7;9;2023;07/09/2023
scroll;20231108;766;108;8;11;2023;08/11/2023
page_view;20231028;765;211;28;10;2023;28/10/2023
page_view;20240206;764;85;6;2;2024;06/02/2024
page_view;20231116;763;103;16;11;2023;16/11/2023
page_view;20231031;762;101;31;10;2023;31/10/2023
page_view;20240218;761;78;18;2;2024;18/02/2024
scroll;20230905;760;82;5;9;2023;05/09/2023
user_engagement;20231105;757;124;5;11;2023;05/11/2023
scroll;20230820;756;93;20;8;2023;20/08/2023
page_view;20240105;755;82;5;1;2024;05/01/2024
scroll;20240110;755;80;10;1;2024;10/01/2024
page_view;20240203;753;78;3;2;2024;03/02/2024
user_engagement;20240119;753;78;19;1;2024;19/01/2024
user_engagement;20231230;752;50;30;12;2023;30/12/2023
page_view;20230908;751;85;8;9;2023;08/09/2023
scroll;20231127;751;105;27;11;2023;27/11/2023
user_engagement;20231128;751;88;28;11;2023;28/11/2023
user_engagement;20231017;749;64;17;10;2023;17/10/2023
scroll;20231107;748;104;7;11;2023;07/11/2023
scroll;20230824;744;120;24;8;2023;24/08/2023
scroll;20231125;744;111;25;11;2023;25/11/2023
user_engagement;20230923;743;61;23;9;2023;23/09/2023
page_view;20231209;742;132;9;12;2023;09/12/2023
page_view;20240216;742;89;16;2;2024;16/02/2024
user_engagement;20240120;742;95;20;1;2024;20/01/2024
scroll;20240109;741;113;9;1;2024;09/01/2024
page_view;20231114;740;114;14;11;2023;14/11/2023
user_engagement;20231018;737;66;18;10;2023;18/10/2023
user_engagement;20230906;736;84;6;9;2023;06/09/2023
user_engagement;20240218;736;67;18;2;2024;18/02/2024
scroll;20230907;735;69;7;9;2023;07/09/2023
page_view;20230918;734;95;18;9;2023;18/09/2023
user_engagement;20230929;731;84;29;9;2023;29/09/2023
user_engagement;20231221;731;87;21;12;2023;21/12/2023
scroll;20231027;730;86;27;10;2023;27/10/2023
user_engagement;20240105;730;57;5;1;2024;05/01/2024
scroll;20240202;729;96;2;2;2024;02/02/2024
scroll;20231105;728;131;5;11;2023;05/11/2023
user_engagement;20240126;728;73;26;1;2024;26/01/2024
user_engagement;20231206;727;85;6;12;2023;06/12/2023
scroll;20231018;726;73;18;10;2023;18/10/2023
scroll;20240116;724;87;16;1;2024;16/01/2024
page_view;20231004;723;113;4;10;2023;04/10/2023
scroll;20230925;723;72;25;9;2023;25/09/2023
scroll;20231230;721;52;30;12;2023;30/12/2023
form_submit;20231025;720;124;25;10;2023;25/10/2023
page_view;20230912;719;94;12;9;2023;12/09/2023
page_view;20231226;718;81;26;12;2023;26/12/2023
scroll;20231119;718;76;19;11;2023;19/11/2023
scroll;20231130;717;108;30;11;2023;30/11/2023
scroll;20231120;716;77;20;11;2023;20/11/2023
scroll;20230812;714;60;12;8;2023;12/08/2023
user_engagement;20240203;712;67;3;2;2024;03/02/2024
user_engagement;20240123;710;60;23;1;2024;23/01/2024
user_engagement;20240124;709;79;24;1;2024;24/01/2024
page_view;20230920;708;100;20;9;2023;20/09/2023
page_view;20231214;707;87;14;12;2023;14/12/2023
scroll;20231111;705;110;11;11;2023;11/11/2023
page_view;20240115;704;71;15;1;2024;15/01/2024
scroll;20231006;704;110;6;10;2023;06/10/2023
scroll;20240104;704;104;4;1;2024;04/01/2024
user_engagement;20240215;704;70;15;2;2024;15/02/2024
scroll;20230821;700;79;21;8;2023;21/08/2023
scroll;20231023;699;98;23;10;2023;23/10/2023
scroll;20240223;699;192;23;2;2024;23/02/2024
page_view;20231007;698;95;7;10;2023;07/10/2023
page_view;20231029;693;82;29;10;2023;29/10/2023
page_view;20231003;691;94;3;10;2023;03/10/2023
user_engagement;20231020;691;91;20;10;2023;20/10/2023
scroll;20230929;689;82;29;9;2023;29/09/2023
user_engagement;20231222;686;215;22;12;2023;22/12/2023
scroll;20231009;685;86;9;10;2023;09/10/2023
page_view;20230819;683;105;19;8;2023;19/08/2023
page_view;20231008;683;103;8;10;2023;08/10/2023
scroll;20230814;683;64;14;8;2023;14/08/2023
scroll;20230916;683;118;16;9;2023;16/09/2023
user_engagement;20231019;683;84;19;10;2023;19/10/2023
user_engagement;20231110;683;116;10;11;2023;10/11/2023
page_view;20230922;681;88;22;9;2023;22/09/2023
page_view;20240207;680;93;7;2;2024;07/02/2024
scroll;20240108;676;184;8;1;2024;08/01/2024
user_engagement;20230908;675;76;8;9;2023;08/09/2023
scroll;20230924;674;53;24;9;2023;24/09/2023
user_engagement;20231223;674;66;23;12;2023;23/12/2023
user_engagement;20231104;670;169;4;11;2023;04/11/2023
scroll;20230927;669;125;27;9;2023;27/09/2023
scroll;20240123;668;69;23;1;2024;23/01/2024
user_engagement;20231106;666;121;6;11;2023;06/11/2023
scroll;20240119;661;78;19;1;2024;19/01/2024
user_engagement;20231021;661;69;21;10;2023;21/10/2023
user_engagement;20240206;661;76;6;2;2024;06/02/2024
scroll;20231221;659;90;21;12;2023;21/12/2023
page_view;20231030;658;89;30;10;2023;30/10/2023
user_engagement;20231209;655;106;9;12;2023;09/12/2023
user_engagement;20231031;654;84;31;10;2023;31/10/2023
scroll;20231201;653;85;1;12;2023;01/12/2023
user_engagement;20231113;652;77;13;11;2023;13/11/2023
scroll;20240208;651;69;8;2;2024;08/02/2024
scroll;20231106;650;120;6;11;2023;06/11/2023
page_view;20240217;649;104;17;2;2024;17/02/2024
scroll;20231017;645;68;17;10;2023;17/10/2023
user_engagement;20230902;645;76;2;9;2023;02/09/2023
user_engagement;20231215;645;96;15;12;2023;15/12/2023
page_view;20231022;644;85;22;10;2023;22/10/2023
user_engagement;20231116;640;88;16;11;2023;16/11/2023
page_view;20230818;639;72;18;8;2023;18/08/2023
user_engagement;20240115;639;63;15;1;2024;15/01/2024
page_view;20231011;638;82;11;10;2023;11/10/2023
user_engagement;20231211;638;110;11;12;2023;11/12/2023
page_view;20230815;637;77;15;8;2023;15/08/2023
page_view;20231002;636;87;2;10;2023;02/10/2023
scroll;20230829;636;72;29;8;2023;29/08/2023
user_engagement;20240219;636;71;19;2;2024;19/02/2024
user_engagement;20230918;634;75;18;9;2023;18/09/2023
user_engagement;20231112;634;75;12;11;2023;12/11/2023
user_engagement;20231028;633;157;28;10;2023;28/10/2023
user_engagement;20231114;632;93;14;11;2023;14/11/2023
user_engagement;20240216;632;68;16;2;2024;16/02/2024
page_view;20240205;631;82;5;2;2024;05/02/2024
user_engagement;20231009;631;79;9;10;2023;09/10/2023
scroll;20231222;629;195;22;12;2023;22/12/2023
scroll;20231121;628;70;21;11;2023;21/11/2023
scroll;20231126;625;93;26;11;2023;26/11/2023
scroll;20231223;625;72;23;12;2023;23/12/2023
scroll;20240222;625;102;22;2;2024;22/02/2024
user_engagement;20230829;621;74;29;8;2023;29/08/2023
user_engagement;20231007;618;82;7;10;2023;07/10/2023
scroll;20231213;615;83;13;12;2023;13/12/2023
user_engagement;20231226;614;67;26;12;2023;26/12/2023
scroll;20230919;613;106;19;9;2023;19/09/2023
page_view;20230805;611;101;5;8;2023;05/08/2023
page_view;20240103;608;93;3;1;2024;03/01/2024
user_engagement;20230919;608;104;19;9;2023;19/09/2023
page_view;20231204;607;91;4;12;2023;04/12/2023
scroll;20231124;606;90;24;11;2023;24/11/2023
scroll;20240221;605;85;21;2;2024;21/02/2024
scroll;20231217;602;72;17;12;2023;17/12/2023
page_view;20240102;601;89;2;1;2024;02/01/2024
scroll;20231020;600;97;20;10;2023;20/10/2023
scroll;20230913;599;70;13;9;2023;13/09/2023
scroll;20231215;599;102;15;12;2023;15/12/2023
scroll;20230804;598;80;4;8;2023;04/08/2023
scroll;20240201;596;101;1;2;2024;01/02/2024
page_view;20231227;595;83;27;12;2023;27/12/2023
scroll;20231110;594;117;10;11;2023;10/11/2023
scroll;20240120;593;89;20;1;2024;20/01/2024
scroll;20230908;592;76;8;9;2023;08/09/2023
page_view;20231224;591;75;24;12;2023;24/12/2023
user_engagement;20231217;589;66;17;12;2023;17/12/2023
scroll;20230926;587;91;26;9;2023;26/09/2023
scroll;20231202;587;70;2;12;2023;02/12/2023
scroll;20240220;587;79;20;2;2024;20/02/2024
scroll;20240106;584;68;6;1;2024;06/01/2024
user_engagement;20230818;584;67;18;8;2023;18/08/2023
user_engagement;20230922;582;78;22;9;2023;22/09/2023
page_view;20231014;581;77;14;10;2023;14/10/2023
scroll;20240204;581;87;4;2;2024;04/02/2024
page_view;20240101;580;65;1;1;2024;01/01/2024
page_view;20231103;578;85;3;11;2023;03/11/2023
user_engagement;20240207;577;76;7;2;2024;07/02/2024
scroll;20230923;575;58;23;9;2023;23/09/2023
scroll;20240209;574;88;9;2;2024;09/02/2024
user_engagement;20230913;574;68;13;9;2023;13/09/2023
user_engagement;20231204;574;69;4;12;2023;04/12/2023
user_engagement;20240225;574;79;25;2;2024;25/02/2024
scroll;20231214;571;75;14;12;2023;14/12/2023
page_view;20230910;570;56;10;9;2023;10/09/2023
user_engagement;20231214;569;72;14;12;2023;14/12/2023
page_view;20230822;568;96;22;8;2023;22/08/2023
user_engagement;20231004;568;93;4;10;2023;04/10/2023
user_engagement;20231124;568;83;24;11;2023;24/11/2023
page_view;20231010;567;65;10;10;2023;10/10/2023
scroll;20231113;566;80;13;11;2023;13/11/2023
user_engagement;20231029;566;72;29;10;2023;29/10/2023
user_engagement;20231008;564;92;8;10;2023;08/10/2023
user_engagement;20240205;564;64;5;2;2024;05/02/2024
page_view;20231216;563;83;16;12;2023;16/12/2023
user_engagement;20230912;561;74;12;9;2023;12/09/2023
page_view;20231229;560;73;29;12;2023;29/12/2023
scroll;20240107;560;71;7;1;2024;07/01/2024
scroll;20231021;559;70;21;10;2023;21/10/2023
scroll;20231031;555;84;31;10;2023;31/10/2023
scroll;20231112;555;76;12;11;2023;12/11/2023
scroll;20231104;553;164;4;11;2023;04/11/2023
page_view;20231013;550;59;13;10;2023;13/10/2023
scroll;20231206;550;88;6;12;2023;06/12/2023
user_engagement;20230819;548;91;19;8;2023;19/08/2023
scroll;20230904;547;74;4;9;2023;04/09/2023
user_engagement;20230815;547;62;15;8;2023;15/08/2023
user_engagement;20240217;547;86;17;2;2024;17/02/2024
page_view;20231220;544;102;20;12;2023;20/12/2023
user_engagement;20230920;544;87;20;9;2023;20/09/2023
scroll;20231128;542;93;28;11;2023;28/11/2023
user_engagement;20231011;542;66;11;10;2023;11/10/2023
form_submit;20230915;540;85;15;9;2023;15/09/2023
scroll;20240124;539;85;24;1;2024;24/01/2024
page_view;20231101;538;73;1;11;2023;01/11/2023
scroll;20231116;537;86;16;11;2023;16/11/2023
scroll;20240105;537;64;5;1;2024;05/01/2024
scroll;20240215;535;68;15;2;2024;15/02/2024
scroll;20240130;534;73;30;1;2024;30/01/2024
page_view;20231012;533;68;12;10;2023;12/10/2023
scroll;20231209;532;105;9;12;2023;09/12/2023
user_engagement;20231022;531;69;22;10;2023;22/10/2023
user_engagement;20240103;529;74;3;1;2024;03/01/2024
scroll;20231003;527;80;3;10;2023;03/10/2023
user_engagement;20231030;527;74;30;10;2023;30/10/2023
scroll;20231226;526;71;26;12;2023;26/12/2023
user_engagement;20230805;523;88;5;8;2023;05/08/2023
page_view;20231102;522;65;2;11;2023;02/11/2023
scroll;20231114;522;97;14;11;2023;14/11/2023
scroll;20231004;520;91;4;10;2023;04/10/2023
scroll;20230912;519;81;12;9;2023;12/09/2023
scroll;20240115;518;57;15;1;2024;15/01/2024
page_view;20231225;514;84;25;12;2023;25/12/2023
user_engagement;20231002;510;78;2;10;2023;02/10/2023
scroll;20231019;508;85;19;10;2023;19/10/2023
page_view;20230816;506;65;16;8;2023;16/08/2023
user_engagement;20231003;506;81;3;10;2023;03/10/2023
scroll;20230902;505;73;2;9;2023;02/09/2023
scroll;20231211;505;108;11;12;2023;11/12/2023
user_engagement;20231014;503;65;14;10;2023;14/10/2023
scroll;20240219;499;68;19;2;2024;19/02/2024
scroll;20231029;498;65;29;10;2023;29/10/2023
scroll;20231022;497;74;22;10;2023;22/10/2023
scroll;20231028;496;127;28;10;2023;28/10/2023
scroll;20230922;495;77;22;9;2023;22/09/2023
user_engagement;20230910;492;52;10;9;2023;10/09/2023
user_engagement;20231216;491;66;16;12;2023;16/12/2023
