# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240729
# Data de termino: 20240804
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Taxa de eventos principais do usuario;Receita total
Itaborai;20240729;2;1;2;1;1;45.5;23;0;0;0
Joao Pessoa;20240730;2;2;2;1;1;819.5;389;0;0;0
Juiz de Fora;20240802;2;0;2;0.6666666666666666;1;90;22;0;0;0
Leopoldina;20240730;2;1;3;0.42857142857142855;1.5;16;31;0;0;0
Maceio;20240729;2;0;2;1;1;111.5;34;0;0;0
Manaus;20240730;2;1;1;0.5;0.5;166.5;33;0;0;0
Manaus;20240801;2;1;2;1;1;83;25;0;0;0
Niteroi;20240729;2;0;2;0.5;1;217.5;73;0;0;0
Niteroi;20240731;2;0;4;1;2;144;54;0;0;0
Paris;20240731;2;1;2;1;1;61;24;0;0;0
Parnamirim;20240731;2;0;2;1;1;87.5;38;0;0;0
Petropolis;20240803;2;0;3;1;1.5;1313.5;334;0;0;0
Porto Alegre;20240803;2;2;1;0.5;0.5;148.5;15;0;0;0
Recife;20240801;2;2;1;0.5;0.5;23;9;0;0;0
Rolandia;20240729;2;0;2;1;1;105;14;0;0;0
Salvador;20240729;2;2;1;0.5;0.5;3;7;0;0;0
Sao Goncalo;20240803;2;1;2;0.6666666666666666;1;62;80;0;0;0
Sao Joao de Meriti;20240803;2;2;1;0.5;0.5;8.5;8;0;0;0
Sao Paulo;20240803;2;0;2;1;1;150.5;73;0;0;0
Senhor do Bonfim;20240801;2;2;1;0.5;0.5;8;7;0;0;0
Serra;20240731;2;2;2;1;1;76.5;19;0;0;0
Vicosa;20240804;2;0;3;1;1.5;70.5;24;0;0;0
Vila Velha;20240802;2;1;2;1;1;11;9;0;0;0
5551;20240801;1;0;1;1;1;15;9;0;0;0
6774;20240731;1;1;1;1;1;75;15;0;0;0
Altoona;20240729;1;1;1;1;1;2;5;0;0;0
Amadora;20240801;1;0;1;1;1;49;12;0;0;0
Amadora;20240804;1;0;1;0.5;1;24;16;0;0;0
Ampere;20240730;1;0;1;1;1;70;3;0;0;0
Aparecida;20240729;1;1;0;0;0;0;3;0;0;0
Apiai;20240802;1;0;1;1;1;20;4;0;0;0
Aracaju;20240801;1;0;1;1;1;11;4;0;0;0
Araraquara;20240729;1;0;1;0.5;1;2844;403;0;0;0
Araraquara;20240730;1;0;1;1;1;11;4;0;0;0
Araraquara;20240803;1;1;1;1;1;30;5;0;0;0
Armacao dos Buzios;20240803;1;1;1;0.5;1;15;6;0;0;0
Arraial do Cabo;20240801;1;1;1;1;1;92;24;0;0;0
Barbacena;20240801;1;1;1;1;1;0;4;0;0;0
Barra Mansa;20240730;1;1;1;1;1;314;22;0;0;0
Barra Mansa;20240801;1;1;1;1;1;193;18;0;0;0
Barra Mansa;20240802;1;1;1;1;1;212;46;0;0;0
Barra do Pirai;20240803;1;0;0;0;0;0;2;0;0;0
Barra do Pirai;20240804;1;1;1;1;1;720;48;0;0;0
Barueri;20240801;1;0;3;1;3;830;324;0;0;0
Barueri;20240804;1;0;5;0.7142857142857143;5;1390;166;0;0;0
Bauru;20240731;1;1;1;1;1;63;9;0;0;0
Belem;20240729;1;0;1;1;1;209;14;0;0;0
Belford Roxo;20240731;1;1;1;1;1;29;4;0;0;0
Belo Horizonte;20240729;1;1;0;0;0;8;4;0;0;0
Belo Horizonte;20240730;1;1;1;1;1;19;5;0;0;0
Belo Horizonte;20240801;1;1;1;1;1;0;4;0;0;0
Belo Horizonte;20240803;1;1;0;0;0;0;3;0;0;0
Blumenau;20240802;1;1;1;1;1;48;4;0;0;0
Boston;20240730;1;1;1;1;1;16;5;0;0;0
Boydton;20240801;1;1;0;0;0;5;5;0;0;0
Brasilia;20240731;1;0;1;1;1;1085;325;0;0;0
Brasilia;20240803;1;1;1;1;1;11;5;0;0;0
Brest;20240731;1;1;0;0;0;0;3;0;0;0
Cabo Frio;20240730;1;0;3;1;3;205;68;0;0;0
Cabo Frio;20240801;1;0;0;0;0;0;3;0;0;0
Cabo Frio;20240802;1;0;1;1;1;44;16;0;0;0
Cachoeiro de Itapemirim;20240802;1;1;1;1;1;16;5;0;0;0
Camacari;20240803;1;0;1;1;1;1470;174;0;0;0
Camacari;20240804;1;1;1;1;1;10;7;0;0;0
Campina Grande;20240729;1;1;0;0;0;0;3;0;0;0
Campina Grande;20240803;1;1;1;1;1;34;8;0;0;0
Campina Grande;20240804;1;1;1;1;1;48;11;0;0;0
Campinas;20240801;1;1;1;1;1;23;4;0;0;0
Campinas;20240803;1;0;0;0;0;7;4;0;0;0
Campo Grande;20240802;1;0;1;1;1;254;67;0;0;0
Campos Gerais;20240802;1;1;0;0;0;0;3;0;0;0
Campos dos Goytacazes;20240730;1;0;1;1;1;18;3;0;0;0
Campos dos Goytacazes;20240801;1;0;1;1;1;56;2;0;0;0
Caraguatatuba;20240801;1;0;1;1;1;640;61;0;0;0
Caraguatatuba;20240802;1;0;1;1;1;693;50;0;0;0
Carangola;20240804;1;1;1;1;1;5;5;0;0;0
Caxias do Sul;20240801;1;0;1;1;1;81;35;0;0;0
Caxias do Sul;20240802;1;0;1;1;1;79;16;0;0;0
Chapeco;20240729;1;1;1;1;1;18;6;0;0;0
Chapeco;20240802;1;0;1;1;1;4;4;0;0;0
Charleville-Mezieres;20240802;1;1;1;1;1;899;40;0;0;0
Cidade Ocidental;20240802;1;1;1;1;1;112;9;0;0;0
Conceicao de Macabu;20240804;1;1;0;0;0;0;3;0;0;0
Concordia;20240801;1;0;1;1;1;13;3;0;0;0
Contagem;20240730;1;1;1;1;1;48;5;0;0;0
Contagem;20240801;1;1;1;1;1;10;7;0;0;0
Criciuma;20240801;1;1;0;0;0;5;5;0;0;0
Cubatao;20240802;1;1;0;0;0;0;3;0;0;0
Cuiaba;20240803;1;1;1;1;1;99;11;0;0;0
Curitiba;20240803;1;1;0;0;0;16;4;0;0;0
Curitiba;20240804;1;0;1;1;1;77;8;0;0;0
Diamantina;20240802;1;1;1;1;1;74;7;0;0;0
Dublin;20240729;1;1;0;0;0;0;3;0;0;0
Duque de Caxias;20240802;1;1;1;1;1;298;66;0;0;0
Duque de Caxias;20240804;1;0;1;1;1;92;13;0;0;0
Erechim;20240731;1;1;0;0;0;0;4;0;0;0
Estancia;20240802;1;1;1;1;1;12;5;0;0;0
Eunapolis;20240729;1;1;0;0;0;0;3;0;0;0
Faisalabad;20240801;1;1;1;1;1;2;4;0;0;0
Feira de Santana;20240729;1;1;1;0.5;1;190;22;0;0;0
Feira de Santana;20240730;1;1;1;1;1;29;5;0;0;0
Florianopolis;20240731;1;0;2;0.6666666666666666;2;367;35;0;0;0
Florianopolis;20240801;1;0;1;0.5;1;11;8;0;0;0
Fortaleza;20240729;1;1;1;1;1;25;6;0;0;0
Fortaleza;20240730;1;1;1;1;1;163;15;0;0;0
Fortaleza;20240731;1;1;1;1;1;13;5;0;0;0
Goiania;20240729;1;0;1;1;1;6;7;0;0;0
Goiania;20240730;1;0;1;1;1;70;10;0;0;0
Goiania;20240731;1;1;1;1;1;27;8;0;0;0
Guarapari;20240801;1;1;1;1;1;117;34;0;0;0
Guarapari;20240804;1;0;5;0.8333333333333334;5;3455;169;0;0;0
Guarulhos;20240801;1;1;1;1;1;36;8;0;0;0
Igarapava;20240730;1;1;1;1;1;62;5;0;0;0
Istres;20240731;1;0;1;1;1;0;1;0;0;0
Joao Pessoa;20240731;1;1;1;1;1;119;17;0;0;0
Joao Pessoa;20240802;1;1;1;1;1;209;53;0;0;0
Joao Pessoa;20240803;1;1;1;1;1;66;9;0;0;0
Joinville;20240729;1;1;1;1;1;8;4;0;0;0
Joinville;20240804;1;1;0;0;0;0;3;0;0;0
Jose Bonifacio;20240801;1;1;1;0.5;1;14;6;0;0;0
Juazeiro do Norte;20240730;1;1;1;1;1;200;4;0;0;0
Juazeiro do Norte;20240802;1;1;1;1;1;14;4;0;0;0
Juiz de Fora;20240729;1;0;1;1;1;291;33;0;0;0
Juiz de Fora;20240730;1;1;1;1;1;130;18;0;0;0
Juiz de Fora;20240801;1;0;1;1;1;33;16;0;0;0
Juiz de Fora;20240804;1;1;1;1;1;367;10;0;0;0
Lagarto;20240730;1;1;1;1;1;14;4;0;0;0
Lajeado;20240802;1;1;1;1;1;0;4;0;0;0
Lauro de Freitas;20240801;1;0;1;1;1;11;6;0;0;0
Leopoldina;20240729;1;1;3;0.75;3;1126;267;0;0;0
Leopoldina;20240731;1;0;1;1;1;467;75;0;0;0
Leopoldina;20240801;1;0;1;0.5;1;667;160;0;0;0
Leopoldina;20240802;1;0;7;0.7777777777777778;7;781;175;0;0;0
Leopoldina;20240803;1;0;2;0.5;2;172;52;0;0;0
Leopoldina;20240804;1;0;5;1;5;1241;382;0;0;0
Lisbon;20240730;1;1;1;1;1;31;5;0;0;0
Lisbon;20240801;1;0;1;1;1;417;86;0;0;0
Londrina;20240802;1;1;0;0;0;0;3;0;0;0
Los Angeles;20240730;1;1;0;0;0;3;5;0;0;0
Maceio;20240730;1;0;1;0.5;1;390;10;0;0;0
Maceio;20240731;1;0;1;1;1;31;2;0;0;0
Maceio;20240803;1;0;1;1;1;15;8;0;0;0
Manaus;20240729;1;0;0;0;0;6;4;0;0;0
Marica;20240729;1;0;1;1;1;84;27;0;0;0
Maringa;20240731;1;1;1;1;1;194;11;0;0;0
Marituba;20240804;1;1;1;1;1;551;115;0;0;0
Mesquita;20240804;1;1;1;1;1;207;22;0;0;0
Mogi das Cruzes;20240731;1;0;1;1;1;2;5;0;0;0
Moji-Mirim;20240731;1;1;1;1;1;213;4;0;0;0
Monteiro;20240730;1;0;2;1;2;100;24;0;0;0
Montes Claros;20240803;1;1;1;1;1;595;219;0;0;0
Montes Claros;20240804;1;0;0;0;0;19;13;0;0;0
Montevideo;20240801;1;1;1;1;1;17;4;0;0;0
Moscow;20240802;1;1;1;1;1;56;32;0;0;0
Mossoro;20240804;1;0;1;1;1;0;2;0;0;0
Naaldwijk;20240802;1;0;1;1;1;12;6;0;0;0
Nancy;20240731;1;0;1;1;1;0;1;0;0;0
Nantes;20240731;1;0;1;1;1;0;3;0;0;0
Narbonne;20240731;1;0;1;1;1;0;2;0;0;0
Natal;20240729;1;1;0;0;0;0;3;0;0;0
Natal;20240730;1;0;1;1;1;19;8;0;0;0
Nilopolis;20240729;1;1;1;1;1;364;39;0;0;0
Nilopolis;20240730;1;1;1;1;1;60;7;0;0;0
Niteroi;20240730;1;1;1;1;1;42;12;0;0;0
Nova Friburgo;20240801;1;1;1;1;1;157;9;0;0;0
Nova Friburgo;20240802;1;1;1;1;1;277;87;0;0;0
Nova Friburgo;20240803;1;1;0;0;0;0;3;0;0;0
Nova Iguacu;20240729;1;1;1;0.5;1;6;7;0;0;0
Nova Iguacu;20240731;1;1;1;1;1;24;9;0;0;0
Nova Iguacu;20240801;1;1;1;1;1;52;14;0;0;0
Novo Hamburgo;20240730;1;1;0;0;0;2;4;0;0;0
Ouro Branco;20240804;1;1;1;1;1;165;6;0;0;0
Paracambi;20240803;1;1;0;0;0;0;3;0;0;0
Paranavai;20240729;1;0;1;1;1;94;11;0;0;0
Paranavai;20240801;1;0;1;1;1;12;1;0;0;0
Paris;20240802;1;0;0;0;0;0;2;0;0;0
Paris;20240804;1;1;0;0;0;0;3;0;0;0
Parnamirim;20240730;1;0;2;1;2;150;13;0;0;0
Parnamirim;20240801;1;0;1;1;1;1131;53;0;0;0
Parnamirim;20240803;1;0;1;1;1;73;8;0;0;0
Parnamirim;20240804;1;0;3;1;3;671;56;0;0;0
Passo Fundo;20240801;1;1;0;0;0;0;3;0;0;0
Paulo Afonso;20240802;1;1;1;1;1;6;4;0;0;0
Pavlovsky Posad;20240730;1;0;1;1;1;35;8;0;0;0
Pavlovsky Posad;20240801;1;0;0;0;0;8;3;0;0;0
Pavlovsky Posad;20240804;1;0;1;1;1;31;8;0;0;0
Pelotas;20240802;1;0;1;1;1;126;33;0;0;0
Petropolis;20240731;1;1;1;1;1;14;7;0;0;0
Petropolis;20240801;1;1;1;1;1;115;5;0;0;0
Petropolis;20240804;1;0;1;0.5;1;76;22;0;0;0
Picarras;20240731;1;1;1;1;1;141;8;0;0;0
Poitiers;20240804;1;1;1;1;1;168;15;0;0;0
Pombal;20240730;1;0;1;1;1;2279;447;0;0;0
Pombal;20240731;1;0;2;1;2;825;73;0;0;0
Pombal;20240801;1;0;2;1;2;2515;580;0;0;0
Pombal;20240802;1;0;1;1;1;573;153;0;0;0
Pombal;20240803;1;0;2;1;2;3147;264;0;0;0
Pombal;20240804;1;0;3;1;3;237;66;0;0;0
Porto Alegre;20240801;1;1;0;0;0;2;4;0;0;0
Porto Alegre;20240802;1;1;0;0;0;0;4;0;0;0
Porto Seguro;20240804;1;1;0;0;0;0;3;0;0;0
Porto Velho;20240731;1;1;0;0;0;0;3;0;0;0
Puebla;20240804;1;1;1;1;1;127;11;0;0;0
Registro;20240804;1;1;0;0;0;0;3;0;0;0
Ribeirao Preto;20240801;1;1;0;0;0;1;5;0;0;0
Rio Branco;20240730;1;1;0;0;0;0;3;0;0;0
Rio Branco;20240801;1;1;0;0;0;0;3;0;0;0
Rio das Ostras;20240730;1;0;0;0;0;0;3;0;0;0
Rio das Ostras;20240731;1;0;1;1;1;19;6;0;0;0
Rio das Ostras;20240803;1;1;1;1;1;222;68;0;0;0
Roanne;20240730;1;1;1;1;1;139;29;0;0;0
Rolandia;20240802;1;0;1;1;1;0;2;0;0;0
Rondonopolis;20240802;1;0;0;0;0;0;2;0;0;0
Saint Petersburg;20240802;1;0;2;1;2;357;47;0;0;0
Salvador;20240730;1;1;1;1;1;103;17;0;0;0
Salvador;20240801;1;1;0;0;0;0;3;0;0;0
San Jose;20240729;1;0;1;1;1;291;52;0;0;0
Santiago;20240801;1;1;1;1;1;31;5;0;0;0
Santo Andre;20240801;1;1;1;1;1;28;4;0;0;0
Sao Bernardo do Campo;20240801;1;0;1;1;1;29;11;0;0;0
Sao Bernardo do Campo;20240804;1;1;1;1;1;10;9;0;0;0
Sao Francisco do Sul;20240801;1;1;1;1;1;63;5;0;0;0
Sao Goncalo;20240801;1;1;1;1;1;29;5;0;0;0
Sao Goncalo;20240804;1;1;0;0;0;4;5;0;0;0
Sao Joao del Rei;20240802;1;1;1;1;1;10;4;0;0;0
Sao Jose do Rio Preto;20240802;1;1;1;1;1;36;7;0;0;0
Sao Jose dos Pinhais;20240730;1;0;1;1;1;9;5;0;0;0
Sao Luis;20240801;1;1;1;1;1;46;5;0;0;0
Sapucaia do Sul;20240804;1;1;0;0;0;0;3;0;0;0
Sarzedo;20240801;1;0;1;1;1;3;2;0;0;0
Serra;20240801;1;1;0;0;0;0;3;0;0;0
Serra;20240802;1;1;0;0;0;0;3;0;0;0
Sete Lagoas;20240804;1;0;1;1;1;57;16;0;0;0
Shrewsbury;20240803;1;0;1;1;1;16;11;0;0;0
Shrewsbury;20240804;1;0;0;0;0;5;3;0;0;0
Sinop;20240802;1;0;1;0.3333333333333333;1;66;17;0;0;0
Sumare;20240801;1;1;1;1;1;76;5;0;0;0
Tangua;20240804;1;0;1;1;1;544;45;0;0;0
Tlalnepantla de Baz;20240804;1;0;1;1;1;75;6;0;0;0
Uberlandia;20240729;1;0;1;1;1;4109;52;0;0;0
Uberlandia;20240731;1;0;1;1;1;4;4;0;0;0
Varginha;20240731;1;0;1;1;1;111;15;0;0;0
Varginha;20240804;1;0;1;1;1;20;9;0;0;0
Viamao;20240803;1;0;1;0.5;1;236;23;0;0;0
Vicosa;20240731;1;0;1;1;1;33;6;0;0;0
Vierzon;20240802;1;0;1;1;1;1116;230;0;0;0
Vila Velha;20240731;1;0;1;1;1;230;10;0;0;0
Vitoria;20240730;1;1;1;1;1;84;11;0;0;0
Vitoria;20240731;1;0;1;1;1;21;12;0;0;0
Vitoria da Conquista;20240804;1;0;0;0;0;0;5;0;0;0
Vitoria de Santo Antao;20240801;1;1;1;1;1;12;5;0;0;0
Volta Redonda;20240804;1;1;1;1;1;37;9;0;0;0
Barueri;20240802;0;0;0;0;0;0;2;0;0;0
Canela;20240730;0;0;0;0;0;0;2;0;0;0
Curitiba;20240802;0;0;0;0;0;0;3;0;0;0
Pelotas;20240803;0;0;0;0;0;0;2;0;0;0
Rio Branco;20240803;0;0;0;0;0;0;2;0;0;0
Sao Goncalo;20240730;0;0;0;0;0;0;2;0;0;0
Sete Lagoas;20240803;0;0;0;0;0;0;2;0;0;0
